varname,item,country,date,N,agree,disagree,dk
romfreearg,Que opinion tiene sobre la apertura de las importaciones? Usted cree que es positivo para el pais,Argentina,9/20/1993,1148,39,32,29
usiafreearg,"Segun algunas personas deberiamos permitir la entrada libre de productos extranjeros a nuestro pais porque los consumidores pagarian menos. Otros dicen que deberiamos limitar el flujo de productos extranjeros para mantener el nivel de empleo (""permitir""=agree; ""restringir""=disagree)",Argentina,10/31/1994,1195,41.4,58.6,
romfreearg,"Esta usted de acuerdo en que la apertura de las importaciones beneficia a los consumidores porque pueden comprar productos mejores y mas baratos, o que la apertura perjudica a la gente porque aumenta el desempleo?",Argentina,5/16/1994,1287,26,49.4,24.6
romftaarg,"Existe un debate en los diferentes sectores politicos respecto de la integracion en bloques economicos. Cree que la argentina deberia privilegiar ingresar al NAFTA, continuar en el Mercosur, o ninguna de las dos? (1, 2=agree; 3=disagree)",Argentina,5/16/1994,1274,50.6,16.2,33.2
romexparg,"Do you oppose the export taxes enacted by Congress to face the ongoing economic crisis? (""agree with duties""=disagree; ""disagree with duties""=agree)",Argentina,4/3/1995,1313,37.2,28.8,34
romfreearg,"Do you oppose the import tariffs established by Congress to face the ongoing economic crisis? (""agree with duties""=disagree; ""disagree with duties""=agree)",Argentina,4/3/1995,1313,20.2,47.5,32.3
romfreearg,Esta de acuerdo con la apertura a los productos extranjeros?,Argentina,10/15/1995,1312,41,47,12
lbalcaarg,"All things considered, would you say that [nation] benefits or not from its future links with regional trading block? (benefits, doesn't benefit, dk)",Argentina,6/30/1995,1200,68.33,10,21.67
lbfreearg,"Do you think that trade with other countries, both the buying and selling of products, helps [nation's] economy or harms [nation's] economy? (helps, harms)",Argentina,7/8/1996,1200,61.05,15.93,23.02
lbalcaarg,"All things considered, would you say that [nation] benefits or not from its future links with [regional trading block] (Much Benefit, Some benefit, Low benefit, Doesn't benefit at all)",Argentina,7/8/1996,1200,48.63,27.52,23.85
lbfreearg,"How do you think imports influence over the economy? (Help a lot, help a little, damage a little, damage a lot)",Argentina,12/5/1997,1196,34.03,55.51,10.45
wsjfreearg,Do you think that free trade is good or bad for our country?,Argentina,3/30/1998,0,66,,
wsjpta1arg,Do you believe (Mercosur/CACM) has helped or hurt with respect to you and your family?,Argentina,3/30/1999,1001,12,,
wsjpta2arg,Do you believe (Mercosur/CACM) has helped or hurt with respect to the economy of the country?,Argentina,3/30/1999,1001,56,,
usiausftaarg,Do you have a good opinion of US policies which promote free trade within the region,Argentina,10/18/1999,1412,51.7,16.4,31.9
usiafreearg,"Taking everything into account, to what degree do you think that free trade benefits your country's economy",Argentina,12/21/2000,1200,43,41.3,15.6
